id,reduce-base-6-sum,reduce-special-6-sum,reduce-unroll4-6-sum
0,0.61,0.631,0.542
1,2.013,1.776,1.737
2,10.007,7.21,7.262
3,51.735,38.925,37.815
4,435.63,345.746,297.206
5,4259.153,3330.684,2913.917
6,42233.51,32792.98,29266.75
