id,reduce-base-8-argmin,reduce-special-8-argmin
0,0.425,0.418
1,0.575,0.623
2,3.495,3.193
3,42.002,28.955
4,437.848,286.481
5,4414.05,2866.983
6,44445.73,28561.43
