id,reduce-base-1-stddev,reduce-base-2-stddev,reduce-base-3-stddev,reduce-base-4-stddev,reduce-base-5-stddev,reduce-base-6-stddev,reduce-base-7-stddev,reduce-base-8-stddev
0,0.45,0.443,0.455,0.459,0.468,0.486,0.5,0.516
1,0.738,0.908,1.06,1.17,1.364,1.397,1.508,1.612
2,3.894,5.723,7.291,8.336,10.854,10.979,11.608,13.763
3,41.493,54.522,71.765,79.623,92.595,107.335,116.801,128.539
4,384.62,544.343,694.291,789.854,916.957,1042.438,1148.419,1263.683
5,3373.781,5570.009,7295.91,7968.716,9242.058,10596.929,11636.07,12724.649
6,33339.26,56362.85,70027.7,79571.98,91921.63,104885.94,117898.46,126321.39
