id,reduce-base-1-variance,reduce-base-2-variance,reduce-base-3-variance,reduce-base-4-variance,reduce-base-5-variance,reduce-base-6-variance,reduce-base-7-variance,reduce-base-8-variance
0,0.53,0.44,0.448,0.539,0.561,0.579,0.547,0.517
1,0.826,0.877,0.976,1.294,1.421,1.502,1.649,1.485
2,3.522,5.582,6.883,9.03,10.352,12.03,12.814,12.026
3,33.191,46.652,58.559,85.106,100.932,113.113,114.048,117.768
4,300.616,473.17,586.265,868.906,995.578,1134.52,1061.683,1159.118
5,2973.575,4777.204,6355.828,7596.801,8525.288,11127.831,11496.76,12254.217
6,24467.66,51727.93,71065.37,76291.93,84884.87,101022.39,107326.55,121375.61
