id,reduce-base-1-sum,reduce-base-2-sum,reduce-base-3-sum,reduce-base-4-sum,reduce-base-5-sum,reduce-base-6-sum,reduce-base-7-sum,reduce-base-8-sum
0,0.416,0.452,0.42,0.435,0.435,0.45,0.653,0.441
1,0.556,0.632,0.717,0.782,0.873,0.935,1.405,0.994
2,1.822,2.929,3.555,4.265,4.971,8.533,8.739,6.498
3,14.545,27.129,34.338,44.079,49.044,51.002,82.438,62.711
4,141.69,258.343,336.61,394.917,447.771,507.759,658.367,628.173
5,1411.557,2565.138,3319.994,3946.452,4501.254,5159.064,6683.17,6219.586
6,14766.22,25952.12,33404.47,39307.04,44984.31,52848.92,64990.5,62416.16
