id,reduce-base-2-argmin,reduce-special-2-argmin,reduce-unroll4-2-argmin
0,0.516,0.563,0.525
1,1.314,1.477,1.594
2,3.929,3.304,3.387
3,17.437,14.582,13.529
4,153.817,122.942,122.354
5,1454.155,1219.578,1162.634
6,14658.46,12547.16,11536.34
