id,reduce-base-8-argmin,reduce-special-8-argmin,reduce-unroll4-8-argmin
0,0.651,0.66,0.651
1,1.857,1.831,1.727
2,7.632,7.155,6.678
3,45.605,36.982,34.2
4,451.982,303.882,319.757
5,4476.981,2983.519,3105.048
6,44699.85,29669.71,30869.39
