id,reduce-base-2-argmin,reduce-special-2-argmin
0,0.399,0.413
1,0.49,0.483
2,1.663,1.378
3,14.434,11.301
4,146.198,117.469
5,1450.741,1134.657
6,14707.08,11588.57
