id,reduce-base-7-stddev,reduce-special-7-stddev,reduce-unroll4-7-stddev
0,0.636,0.593,0.742
1,2.838,2.392,2.883
2,16.358,11.353,12.729
3,101.173,81.182,90.282
4,863.117,666.268,689.717
5,8556.354,6600.816,6683.311
6,85180.22,65793.75,66262.3
