id,reduce-base-8-min,reduce-special-8-min,reduce-unroll4-8-min
0,0.534,0.549,0.659
1,1.996,1.639,1.667
2,7.551,5.375,5.074
3,49.233,26.465,21.728
4,451.971,233.088,202.771
5,4489.414,2301.918,2188.697
6,44785.5,22950.24,19483.51
