id,reduce-base-8-argmax,reduce-special-8-argmax,reduce-unroll4-8-argmax
0,0.555,0.634,0.854
1,1.389,1.6,1.911
2,5.93,4.994,6.688
3,45.74,32.931,34.638
4,443.792,294.198,328.433
5,4449.428,2922.318,3214.372
6,44041.83,29111.2,31285.76
