id,reduce-base-1-mean,reduce-special-1-mean,reduce-unroll4-1-mean
0,0.697,0.563,0.569
1,1.606,1.188,1.12
2,6.424,1.517,1.118
3,41.501,4.539,2.495
4,371.401,23.337,9.347
5,3030.022,197.638,77.694
6,24471.4,3486.96,1243.45
