id,reduce-base-7-min,reduce-special-7-min,reduce-unroll4-7-min
0,0.577,0.595,0.602
1,2.258,1.643,1.518
2,7.142,4.827,4.437
3,43.105,25.847,19.645
4,411.354,205.757,173.771
5,4083.815,2012.78,1997.89
6,40814.55,20064.94,19908.07
