id,reduce-base-4-min,reduce-special-4-min,reduce-unroll4-4-min
0,0.559,0.544,0.847
1,1.586,1.209,1.121
2,5.611,2.876,3.077
3,29.537,15.706,11.617
4,274.005,124.172,93.962
5,2758.945,872.909,1154.255
6,27763.68,8761.01,8832.67
