id,reduce-base-4-argmin,reduce-special-4-argmin,reduce-unroll4-4-argmin
0,0.603,0.62,0.516
1,1.558,1.106,1.626
2,5.72,3.646,5.488
3,29.176,27.969,28.128
4,271.958,250.414,248.295
5,2744.633,2495.399,2473.587
6,27462.73,24983.45,24517.82
