id,reduce-base-7-mean,reduce-special-7-mean,reduce-unroll4-7-mean
0,0.689,0.614,0.553
1,2.238,1.902,1.751
2,11.397,8.949,7.768
3,71.288,46.977,41.773
4,659.264,383.488,382.838
5,5262.729,3770.112,3316.094
6,51642.04,37463.69,32656.34
