id,reduce-base-3-stddev,reduce-special-3-stddev
0,0.429,0.425
1,0.914,0.682
2,5.581,3.628
3,53.844,34.825
4,529.663,343.631
5,5412.719,3566.488
6,53456.69,34868.91
