id,reduce-base-3-sumsquared,reduce-special-3-sumsquared,reduce-unroll4-3-sumsquared
0,0.618,0.644,0.563
1,1.675,1.323,1.539
2,8.376,5.622,4.916
3,46.14,28.508,29.111
4,377.633,262.458,257.831
5,3733.39,2595.647,2497.983
6,37212.6,26391.76,24851.32
