id,reduce-base-2-max,reduce-special-2-max,reduce-unroll4-2-max
0,0.504,0.499,0.538
1,1.468,1.087,1.247
2,3.126,1.827,1.935
3,15.716,7.669,5.524
4,147.655,51.655,45.152
5,1461.615,436.432,434.422
6,14646.87,4468.24,4357.78
