id,reduce-base-1-stddev,reduce-special-1-stddev,reduce-unroll4-1-stddev
0,0.556,0.537,0.58
1,1.65,1.11,0.838
2,5.417,1.308,0.958
3,43.063,3.53,2.192
4,378.268,20.81,8.679
5,2558.959,193.659,150.278
6,25595.44,2861.99,2104.08
