id,reduce-base-6-sumsquared,reduce-special-6-sumsquared,reduce-unroll4-6-sumsquared
0,0.572,0.597,0.62
1,2.448,2.067,2.005
2,10.024,8.596,7.929
3,65.752,45.388,42.37
4,594.736,383.957,373.455
5,5578.204,3758.064,3475.085
6,55169.86,38474.22,35653.83
