id,reduce-base-2-min,reduce-special-2-min,reduce-unroll4-2-min
0,0.422,0.609,0.608
1,1.281,1.223,1.095
2,3.725,2.087,1.742
3,17.535,8.626,6.236
4,147.565,47.465,45.723
5,1429.434,436.133,454.591
6,14613.41,4408.33,4462.76
