id,reduce-base-6-argmin,reduce-special-6-argmin
0,0.413,0.43
1,0.594,0.612
2,2.243,3.537
3,31.464,34.696
4,359.494,345.484
5,3634.301,3460.925
6,36240.35,34590.45
