id,reduce-base-1-argmax,reduce-special-1-argmax,reduce-unroll4-1-argmax
0,0.635,0.635,0.537
1,1.203,1.222,1.109
2,2.436,1.602,1.338
3,11.554,4.047,2.432
4,70.072,20.093,8.36
5,609.173,193.735,64.171
6,5238.63,2678.94,922.1
