id,reduce-base-4-sumsquared,reduce-special-4-sumsquared
0,0.435,0.408
1,0.708,0.56
2,4.684,2.062
3,44.249,21.875
4,448.393,281.474
5,4427.037,3118.345
6,44283.23,31206.28
