id,aktive-cached,aktive-file
0,8825.59,49478.9
1,16110.35,61672.2
2,15913.61,58600.0
3,15984.88,58414.9
4,6016.84,30480.8
5,4142.07,18511.9
6,3250.3,14791.0
7,3135.06,12067.2
8,3078.43,11936.4
9,3434.53,10541.2
10,3826.13,10174.2
11,4067.34,10359.9
12,4465.57,10231.1
13,4655.67,10786.8
14,4888.67,11419.6
15,5090.81,11489.2
16,5447.17,11862.5
