id,netpbm-cached,netpbm-file
0,9159.92,4584.054
1,15957.01,11743.932
2,16446.52,11304.99
3,16186.23,11390.699
4,6207.32,4071.193
5,4243.29,3241.844
6,3361.98,3160.263
7,3169.39,2851.124
8,3079.96,2774.853
9,3628.72,3212.962
10,3842.77,3245.269
11,4268.53,4218.596
12,4630.17,4457.946
13,4772.67,4951.452
14,4824.46,5121.859
15,4994.46,5282.163
16,5271.05,5960.432
