id,blit-fill-new,blit-fill-old
0,347737.908,255429.309
1,226407.495,250973.48
2,219435.501,254553.21
3,230170.394,257423.478
4,119608.277,131149.397
5,82940.478,91572.664
6,63915.897,67927.305
7,55028.453,60848.763
8,48654.994,54863.527
9,51645.095,59955.724
10,55276.811,62216.315
11,55929.765,59162.329
12,55161.491,59386.871
13,55026.34,59427.304
14,55664.547,61616.491
15,62924.631,62654.689
16,56496.685,63072.649
