id,vecops-unary-u1-atan2,vecops-unary-u2-atan2,vecops-unary-u4-atan2
0,0.365,0.374,0.366
1,0.678,0.626,0.639
2,2.387,2.129,2.142
3,18.427,26.867,18.991
4,182.768,181.044,178.583
5,1842.573,1909.444,1900.989
6,24659.454,18816.547,21377.523
7,189238.633,187940.841,185077.02
8,1877154.739,1849748.259,1819972.644
