id,vecops-unary-u1-shift,vecops-unary-u2-shift,vecops-unary-u4-shift
0,0.306,0.303,0.31
1,0.369,0.351,0.362
2,0.694,0.588,0.497
3,2.552,1.934,1.707
4,24.563,18.164,14.538
5,369.805,247.976,169.774
6,3942.59,2813.681,2167.142
7,37544.295,23109.544,17588.588
8,374089.5,232958.2,190602.5
