id,vecops-unary-u1-fmin,vecops-unary-u2-fmin,vecops-unary-u4-fmin
0,0.344,0.341,0.348
1,0.392,0.404,0.396
2,0.767,0.648,0.618
3,2.973,2.454,2.453
4,26.073,21.656,21.108
5,420.524,290.969,336.72
6,4741.834,3134.7,2994.359
7,38891.259,25290.173,26444.155
8,378034.308,269858.575,242513.628
