id,vecops-unary-u1-fabs,vecops-unary-u2-fabs,vecops-unary-u4-fabs
0,0.355,0.338,0.335
1,0.351,0.366,0.338
2,0.534,0.475,0.437
3,2.959,2.415,1.908
4,22.673,16.445,14.151
5,340.767,243.927,210.547
6,3804.204,2353.096,1977.467
7,36165.777,23487.988,20531.112
8,365148.905,237420.656,199748.031
