id,vecops-unary-u1-nshift,vecops-unary-u2-nshift,vecops-unary-u4-nshift
0,0.319,0.328,0.316
1,0.387,0.361,0.356
2,0.647,0.575,0.495
3,3.781,2.673,1.693
4,23.025,16.564,14.138
5,354.22,199.682,195.054
6,4614.573,2319.468,1863.279
7,37669.838,23600.201,18720.118
8,373148.4,253105.2,190072.7
