id,vecops-unary-u1-scale,vecops-unary-u2-scale,vecops-unary-u4-scale
0,0.306,0.318,0.313
1,0.368,0.365,0.354
2,0.567,0.54,0.51
3,2.566,1.928,1.677
4,24.964,20.032,14.289
5,353.054,198.493,163.764
6,3853.883,2429.721,1973.01
7,37530.815,22502.933,18220.851
8,374196.1,220014.6,164995.9
