id,vecops-unary-u1-rscale,vecops-unary-u2-rscale,vecops-unary-u4-rscale
0,0.307,0.32,0.306
1,0.377,0.36,0.362
2,0.552,0.51,0.472
3,2.665,2.054,1.754
4,25.108,17.895,16.176
5,360.348,212.683,170.913
6,4152.459,2516.593,2304.845
7,40400.984,23081.644,17969.116
8,374268.6,271882.8,167699.4
