id,vecops-unary-u1-fmax,vecops-unary-u2-fmax,vecops-unary-u4-fmax
0,0.326,0.326,0.334
1,0.388,0.387,0.364
2,0.762,0.627,0.578
3,2.861,2.429,2.385
4,26.072,28.353,20.917
5,416.999,291.657,323.129
6,4151.52,3493.599,3081.543
7,37206.988,27258.764,22229.037
8,372935.235,256403.877,235344.697
