id,vecops-unary-u1-outside_oc,vecops-unary-u2-outside_oc,vecops-unary-u4-outside_oc
0,0.321,0.319,0.31
1,0.369,0.362,0.362
2,0.784,0.622,0.532
3,4.826,4.252,3.05
4,49.045,41.37,32.212
5,638.456,500.52,374.341
6,7475.017,5024.522,3952.539
7,63286.633,46907.726,41229.059
8,604671.1,459885.3,389375.1
