id,vecops-unary-u1-outside_co,vecops-unary-u2-outside_co,vecops-unary-u4-outside_co
0,0.303,0.307,0.318
1,0.362,0.362,0.368
2,0.752,0.596,0.528
3,4.956,3.725,3.081
4,49.696,40.167,32.417
5,617.296,489.125,378.838
6,8464.168,5535.463,4217.231
7,64624.343,49621.71,40218.539
8,653952.2,484864.3,383955.0
