id,vecops-binary-u1-sub,vecops-binary-u2-sub,vecops-binary-u4-sub
0,0.328,0.333,0.335
1,0.388,0.365,0.354
2,0.579,0.539,0.509
3,3.107,2.646,2.15
4,27.913,22.7,18.612
5,433.921,309.211,232.099
6,3859.938,2634.264,2233.793
7,39288.382,30595.344,24433.629
8,386976.5,278757.1,245894.6
