id,vecops-unary-u1-ne,vecops-unary-u2-ne,vecops-unary-u4-ne
0,0.32,0.315,0.329
1,0.376,0.378,0.386
2,0.547,0.57,0.518
3,2.77,2.357,2.219
4,25.312,20.938,18.197
5,367.183,235.619,199.523
6,4396.962,3240.279,2815.263
7,37334.744,25440.464,22435.947
8,371170.9,255629.5,216826.6
