id,vecops-binary-u1-gt,vecops-binary-u2-gt,vecops-binary-u4-gt
0,0.33,0.331,0.333
1,0.374,0.363,0.361
2,0.687,0.592,0.516
3,3.73,2.736,2.204
4,64.287,46.539,35.791
5,903.851,706.117,583.454
6,10235.845,8073.171,6744.132
7,102171.66,80821.87,66975.642
8,990996.8,769670.8,713234.1
