id,vecops-binary-u1-fmax,vecops-binary-u2-fmax,vecops-binary-u4-fmax
0,0.326,0.317,0.325
1,0.383,0.392,0.367
2,0.702,0.584,0.592
3,3.519,3.049,2.968
4,32.792,25.343,22.773
5,468.206,366.873,241.12
6,5444.411,3773.032,2891.554
7,49294.487,37405.104,27410.869
8,397203.1,286797.5,285895.5
