id,vecops-unary-u1-inside_oo,vecops-unary-u2-inside_oo,vecops-unary-u4-inside_oo
0,0.327,0.308,0.309
1,0.377,0.357,0.359
2,0.732,0.587,0.528
3,7.396,6.373,3.17
4,45.94,40.221,32.951
5,574.759,423.983,362.065
6,6533.505,5231.782,4525.205
7,60753.812,44566.398,35806.981
8,598082.3,447607.9,378675.1
