id,vecops-unary-u1-cbrt,vecops-unary-u2-cbrt,vecops-unary-u4-cbrt
0,0.327,0.324,0.33
1,0.524,0.517,0.491
2,3.04,2.27,2.077
3,27.393,18.134,17.296
4,211.39,178.25,193.374
5,2158.133,1816.68,1829.027
6,21921.209,19403.045,17730.698
7,212805.783,183936.147,172531.203
8,2102783.817,1832009.594,1754213.244
