id,vecops-unary-u1-wrap,vecops-unary-u2-wrap,vecops-unary-u4-wrap
0,0.374,0.372,0.37
1,0.761,0.711,0.71
2,5.423,5.11,4.962
3,86.322,83.654,82.952
4,1059.563,1033.384,1021.866
5,10686.921,10419.765,10349.355
6,110863.633,111166.706,111404.834
7,1070082.511,1049069.054,1043567.41
8,11446771.18,10706562.158,10501709.227
