id,vecops-unary-u1-floor,vecops-unary-u2-floor,vecops-unary-u4-floor
0,0.341,0.335,0.35
1,0.38,0.349,0.355
2,0.782,0.633,0.562
3,2.945,2.336,2.078
4,34.183,23.202,18.808
5,448.512,240.774,243.43
6,3914.303,2596.67,2353.199
7,40989.741,25806.696,24028.734
8,391825.436,262233.92,241413.214
