id,vecops-unary-u1-inside_cc,vecops-unary-u2-inside_cc,vecops-unary-u4-inside_cc
0,0.314,0.324,0.309
1,0.372,0.366,0.367
2,0.73,0.587,0.514
3,4.507,3.935,2.433
4,46.479,40.266,30.396
5,560.47,440.519,350.965
6,6230.83,5770.139,3910.285
7,60293.065,45342.348,36781.409
8,605226.7,454086.7,368201.0
