id,vecops-binary-u1-pow,vecops-binary-u2-pow,vecops-binary-u4-pow
0,0.363,0.362,0.367
1,0.628,0.63,0.641
2,2.304,2.158,1.925
3,19.847,18.75,17.739
4,174.606,185.747,158.749
5,1810.23,1884.528,1584.807
6,18580.866,18970.315,16395.901
7,183632.219,189118.593,163498.214
8,1867461.5,1979101.8,1776155.9
