id,vecops-unary-u1-hypot,vecops-unary-u2-hypot,vecops-unary-u4-hypot
0,0.334,0.342,0.345
1,0.492,0.469,0.482
2,2.041,1.879,1.725
3,23.139,15.106,14.9
4,173.303,156.342,148.29
5,1736.983,1576.846,1511.01
6,21265.939,19787.298,18529.437
7,177135.031,165086.911,152910.743
8,1758024.5,1619407.4,1499209.4
