id,vecops-unary-u1-acosh,vecops-unary-u2-acosh,vecops-unary-u4-acosh
0,0.321,0.333,0.331
1,0.479,0.47,0.472
2,2.092,1.75,1.577
3,11.014,12.499,9.075
4,108.641,95.155,88.035
5,1073.798,926.521,890.891
6,11324.142,9710.713,9202.615
7,108305.305,96873.245,90435.242
8,1072702.845,965908.801,906220.621
