id,vecops-unary-u1-log2,vecops-unary-u2-log2,vecops-unary-u4-log2
0,0.354,0.359,0.355
1,0.829,0.802,0.777
2,3.178,2.359,2.238
3,10.296,9.571,8.883
4,101.981,83.483,79.582
5,1089.33,838.146,1043.399
6,10746.545,9104.553,8366.952
7,108551.822,89966.883,85030.011
8,1057198.021,872963.087,819190.888
