id,vecops-binary-u1-ne,vecops-binary-u2-ne,vecops-binary-u4-ne
0,0.332,0.341,0.338
1,0.386,0.363,0.364
2,0.622,0.564,0.551
3,3.561,2.862,2.574
4,32.326,26.266,23.711
5,441.858,320.303,259.202
6,4042.025,3040.18,2754.301
7,40475.66,30612.215,27540.343
8,422213.2,304080.5,291005.4
