id,vecops-binary-u1-nand,vecops-binary-u2-nand,vecops-binary-u4-nand
0,0.323,0.334,0.321
1,0.376,0.396,0.351
2,0.779,0.635,0.585
3,3.289,4.562,2.398
4,28.821,23.376,21.534
5,445.748,325.584,270.908
6,4071.245,3350.051,2802.812
7,40325.293,28681.155,26525.86
8,382312.9,273065.7,274197.7
