id,vecops-unary-u1-rfmod,vecops-unary-u2-rfmod,vecops-unary-u4-rfmod
0,0.315,0.315,0.317
1,0.433,0.433,0.43
2,1.286,1.219,1.047
3,11.858,10.307,8.901
4,198.55,179.51,163.889
5,2228.438,2020.003,1858.775
6,24113.007,21869.624,21888.557
7,239158.095,201866.73,191108.39
8,2247915.2,1997926.5,1895121.1
