id,vecops-unary-u1-cos,vecops-unary-u2-cos,vecops-unary-u4-cos
0,0.408,0.394,0.422
1,0.826,0.781,0.78
2,6.07,5.062,5.109
3,57.183,52.974,53.035
4,589.303,579.359,553.264
5,6107.661,5913.754,5782.594
6,61984.087,59233.893,57771.101
7,612151.504,593147.18,590499.909
8,6121546.904,5911741.445,5767649.283
