id,vecops-binary-u1-le,vecops-binary-u2-le,vecops-binary-u4-le
0,0.334,0.335,0.337
1,0.399,0.373,0.377
2,0.718,0.556,0.491
3,3.835,2.907,2.205
4,64.503,48.311,37.475
5,970.18,737.122,599.955
6,10122.364,8234.156,6648.199
7,101165.607,82587.568,66417.626
8,1020987.3,831653.9,728256.3
