id,vecops-unary-u1-round,vecops-unary-u2-round,vecops-unary-u4-round
0,0.347,0.338,0.352
1,0.355,0.365,0.346
2,0.776,0.665,0.653
3,4.124,3.315,3.421
4,30.254,26.726,27.582
5,433.94,349.112,333.919
6,3890.859,2684.651,3147.751
7,40087.769,29510.455,29316.552
8,393064.249,272469.979,294129.681
