id,vecops-unary-u1-sign,vecops-unary-u2-sign,vecops-unary-u4-sign
0,0.336,0.345,0.326
1,0.325,0.323,0.327
2,0.653,0.567,0.516
3,3.697,2.711,2.07
4,27.08,18.594,17.696
5,365.038,242.096,226.661
6,3813.779,2505.384,2038.628
7,38198.325,24990.054,21733.794
8,377721.613,238764.769,211372.636
