id,vecops-binary-u1-atan2,vecops-binary-u2-atan2,vecops-binary-u4-atan2
0,0.395,0.356,0.37
1,0.642,0.654,0.622
2,3.395,2.402,2.208
3,20.585,20.021,20.485
4,207.386,198.478,196.085
5,2080.78,2005.329,1980.039
6,21012.062,20317.348,19922.687
7,209383.89,201344.088,198016.412
8,2131414.7,2035600.5,2007810.3
