id,vecops-unary-u1-eq,vecops-unary-u2-eq,vecops-unary-u4-eq
0,0.32,0.345,0.322
1,0.345,0.36,0.346
2,0.557,0.508,0.51
3,2.671,2.168,1.912
4,23.649,18.711,16.418
5,309.132,241.551,214.955
6,3955.347,3188.865,2723.029
7,36588.623,24804.694,21642.812
8,367494.418,240369.755,217402.094
