id,vecops-unary-u1-signb,vecops-unary-u2-signb,vecops-unary-u4-signb
0,0.334,0.326,0.333
1,0.389,0.353,0.342
2,0.651,0.555,0.509
3,3.076,2.688,2.143
4,26.098,19.304,13.765
5,360.75,234.087,194.465
6,3733.054,2356.147,2050.055
7,37588.243,23301.688,20955.541
8,370835.889,222062.483,205862.232
