id,vecops-unary-u1-gamma_expand,vecops-unary-u2-gamma_expand,vecops-unary-u4-gamma_expand
0,0.373,0.371,0.375
1,0.615,0.505,0.502
2,2.953,2.357,2.292
3,22.111,19.353,18.992
4,206.268,192.328,185.261
5,2065.512,1940.152,1900.57
6,20835.659,19867.908,19291.563
7,200758.682,192245.99,187593.503
8,2156020.657,2040806.103,1923793.286
