id,vecops-unary-u1-inside_co,vecops-unary-u2-inside_co,vecops-unary-u4-inside_co
0,0.317,0.33,0.327
1,0.383,0.358,0.359
2,0.729,0.567,0.531
3,4.518,3.293,3.211
4,46.912,37.869,33.297
5,585.845,427.91,353.042
6,5900.274,5334.977,4131.111
7,59715.459,44614.673,35987.811
8,611211.6,447477.8,372911.4
