id,vecops-unary-u1-not,vecops-unary-u2-not,vecops-unary-u4-not
0,0.416,0.434,0.413
1,0.71,0.687,0.719
2,0.931,0.493,0.487
3,2.471,1.821,1.708
4,24.641,19.001,17.198
5,351.114,169.114,151.272
6,3776.922,2193.446,2076.151
7,37696.468,22066.999,21271.519
8,371856.256,227432.196,207384.89
